Designator,Mid X,Mid Y,Layer,Rotation
R5210,252.75,-148.5,Top,180
R5211,244.2875,-148.5,Top,180
R5212,235.825,-148.5,Top,180
R5213,252.75,-158.4,Top,180
R5214,244.2875,-158.4,Top,180
R5215,235.825,-158.4,Top,180
R5216,252.75,-167.5,Top,180
R5217,244.2875,-167.5,Top,180
R5218,235.825,-167.5,Top,180
R5219,225,-155.5,Top,90
R5220,225,-159,Top,-90
R5221,205.5,-153.0125,Top,-90
R5222,208.8125,-150,Top,0
R6101,223.1,-117.7,Top,-90
R6102,245.2,-128.1875,Top,90
R6103,209.9,-118.9,Top,180
R6104,207.9,-130.6,Top,180
R6105,222.9,-123.2125,Top,-90
R6106,221.6,-127.3,Top,-90
R6107,215.6,-113.1,Top,0
R6108,209.9,-121.2,Top,180
R6109,228,-116.1875,Top,90
R6110,252.75,-132.5,Top,180
R6111,244.2875,-132.5,Top,180
R6112,235.825,-132.5,Top,180
R6113,252.75,-123.4,Top,180
R6114,244.2875,-123.4,Top,180
R6115,235.825,-123.5,Top,180
R6116,252.75,-115,Top,180
R6117,244.2875,-115,Top,180
R6118,235.825,-115,Top,180
R6119,225.9,-121.5125,Top,90
R6120,225.9,-125,Top,-90
R6121,209.3,-128.6,Top,0
R6122,201.8,-136,Top,180
R6201,78.2,-130.5,Top,90
R6202,55.6,-128.4,Top,90
R6203,91.1875,-129,Top,0
R6204,76,-130.5,Top,-90
R6205,78.1,-124.8125,Top,90
R6206,79.9,-121.1125,Top,90
R6207,92.6,-137.5,Top,180
R6208,91.2,-126.5,Top,0
R6209,73,-131.4875,Top,-90
R6210,46.6,-133.5,Top,0
R6211,54.925,-133.5,Top,0
R6212,63.3,-133.5,Top,0
R6213,46.6,-124.5,Top,0
R6214,54.925,-124.5,Top,0
R6215,63.3,-124.5,Top,0
R6216,46.6,-115,Top,0
R6217,54.925,-115,Top,0
R6218,63.3,-115,Top,0
R6219,75,-126.5,Top,-90
R6220,75,-122.9,Top,90
R6221,94.2,-128.8875,Top,90
R6222,91.1875,-131.5,Top,180
R7101,76.9,-96.3,Top,90
R7102,54.75,-86,Top,-90
R7103,90,-95.1,Top,0
R7104,92.1,-83.4,Top,0
R7105,77.15,-90.8,Top,90
R7106,78.4,-86.7,Top,90
R7107,84.4,-101,Top,180
R7108,89.9,-93,Top,0
R7109,72,-97.75,Top,-90
R7110,46.55,-80.7,Top,0
R7111,54.925,-80.7,Top,0
R7112,63.3,-80.7,Top,0
R7113,46.55,-89.65,Top,0
R7114,54.925,-89.65,Top,0
R7115,63.35,-89.65,Top,0
R7116,46.6,-99.225,Top,0
R7117,54.925,-99.225,Top,0
R7118,63.3,-99.225,Top,0
R7119,74.1,-92.5,Top,-90
R7120,74.1,-89,Top,90
R7121,90.7,-85.4,Top,180
R7122,98.2,-77.9,Top,0
R7201,221.8,-83.4,Top,-90
R7202,244.4,-85.7,Top,-90
R7203,208.786507,-84.279105,Top,180
R7204,224,-83.4,Top,90
R7205,221.8,-89.2,Top,-90
R7206,220.2,-93.2,Top,-90
R7207,207.4,-76.6,Top,0
R7208,208.8,-87,Top,180
R7209,227,-82.2,Top,90
R7210,252.75,-80.7,Top,180
R7211,244.2875,-80.7,Top,180
R7212,235.825,-80.7,Top,180
R7213,252.75,-89.65,Top,180
R7214,244.2875,-89.65,Top,180
R7215,235.825,-89.65,Top,180
R7216,252.75,-99.225,Top,180
R7217,244.2875,-99.225,Top,180
R7218,235.825,-99.225,Top,180
R7219,225.2,-87.4,Top,90
R7220,225.2,-90.9,Top,-90
R7221,205.8,-85.1,Top,90
R7222,208.768716,-81.574865,Top,0
RX1,202.5,-293.45,Top,0
TX1,95.5,-294.15,Top,0
U102,96.7,-290,Top,0
U104,202,-281.9,Top,90
U202,202.9,-264.1,Top,180
U204,96.8,-268.4,Top,0
